trip_id,start_time,end_time,headway_secs
1018D2I,6:00:00,6:25:00,1500
1018D2I,6:25:00,7:26:00,1220
1018D2I,7:26:00,20:44:00,591
1018D2I,20:44:00,22:00:00,900
1018D2V,6:17:00,6:42:00,1500
1018D2V,6:42:00,7:42:00,1200
1018D2V,7:42:00,20:35:00,595
1018D2V,20:35:00,22:05:00,900
1018D0I,6:00:00,6:25:00,1500
1018D0I,6:25:00,7:32:00,1340
1018D0I,7:32:00,21:30:00,986
1018D0I,21:30:00,22:00:00,1800
1018D0V,6:17:00,6:42:00,1500
1018D0V,6:42:00,7:22:00,1200
1018D0V,7:22:00,21:22:00,988
1018D0V,21:22:00,21:50:00,1680
1018D1I,6:00:00,6:25:00,1500
1018D1I,6:25:00,7:26:00,1220
1018D1I,7:26:00,20:44:00,591
1018D1I,20:44:00,22:00:00,900
1018D1V,6:17:00,6:42:00,1500
1018D1V,6:42:00,7:42:00,1200
1018D1V,7:42:00,20:35:00,595
1018D1V,20:35:00,22:05:00,900
1034D2I,7:15:00,8:00:00,2700
1034D2I,8:00:00,8:49:00,1470
1034D2I,8:49:00,23:00:00,821
1034D2I,23:00:00,23:50:00,3000
1034D2I,23:50:00,24:40:00,3000
1034D2I,24:40:00,25:30:00,3000
1034D2V,6:50:00,7:35:00,2700
1034D2V,7:35:00,8:23:00,1440
1034D2V,8:23:00,22:35:00,837
1034D2V,22:35:00,23:25:00,3000
1034D2V,23:25:00,24:15:00,3000
1034D2V,24:15:00,25:05:00,3000
1034D0I,5:55:00,6:25:00,1800
1034D0I,6:25:00,8:08:00,883
1034D0I,8:08:00,19:35:00,573
1034D0I,19:35:00,19:43:00,960
1034D0I,19:43:00,19:51:00,480
1034D0I,19:51:00,22:15:00,650
1034D0I,22:15:00,23:00:00,2700
1034D0I,23:00:00,23:50:00,3000
1034D0I,23:50:00,24:40:00,3000
1034D0I,24:40:00,25:30:00,3000
1034D0V,5:30:00,6:00:00,1800
1034D0V,6:00:00,8:18:00,828
1034D0V,8:18:00,8:27:00,1140
1034D0V,8:27:00,8:35:00,480
1034D0V,8:35:00,22:15:00,586
1034D0V,22:15:00,22:35:00,1200
1034D0V,22:35:00,23:25:00,3000
1034D0V,23:25:00,24:15:00,3000
1034D0V,24:15:00,25:05:00,3000
1034D1I,5:55:00,6:42:00,2820
1034D1I,6:42:00,7:54:00,2160
1034D1I,7:54:00,8:30:00,1080
1034D1I,8:30:00,23:00:00,715
1034D1I,23:00:00,27:10:00,1500
1034D1V,5:30:00,6:17:00,2820
1034D1V,6:17:00,7:27:00,2100
1034D1V,7:27:00,8:03:00,1080
1034D1V,8:03:00,9:15:00,864
1034D1V,9:15:00,9:26:00,1320
1034D1V,9:26:00,9:37:00,660
1034D1V,9:37:00,23:00:00,730
1034D1V,23:00:00,26:45:00,1500
1047D2I,7:40:00,8:20:00,2400
1047D2I,8:20:00,15:02:00,1269
1047D2I,15:02:00,22:10:00,1070
1047D2I,22:10:00,22:35:00,1500
1047D2V,7:40:00,8:20:00,2400
1047D2V,8:20:00,15:02:00,1269
1047D2V,15:02:00,22:10:00,1070
1047D2V,22:10:00,22:35:00,1500
1047D0I,6:30:00,6:48:00,1080
1047D0I,6:48:00,7:32:00,880
1047D0I,7:32:00,8:00:00,840
1047D0I,8:00:00,8:08:00,1020
1047D0I,8:08:00,8:17:00,540
1047D0I,8:17:00,8:33:00,960
1047D0I,8:33:00,8:42:00,1020
1047D0I,8:42:00,8:51:00,540
1047D0I,8:51:00,14:41:00,488
1047D0I,14:41:00,21:50:00,677
1047D0I,21:50:00,22:20:00,900
1047D0V,6:30:00,6:48:00,1080
1047D0V,6:48:00,7:32:00,880
1047D0V,7:32:00,8:00:00,840
1047D0V,8:00:00,8:08:00,1020
1047D0V,8:08:00,8:17:00,540
1047D0V,8:17:00,8:33:00,960
1047D0V,8:33:00,8:42:00,1020
1047D0V,8:42:00,8:51:00,540
1047D0V,8:51:00,14:41:00,488
1047D0V,14:41:00,21:50:00,677
1047D0V,21:50:00,22:20:00,900
1047D1I,7:00:00,7:47:00,2820
1047D1I,7:47:00,8:33:00,1380
1047D1I,8:33:00,11:24:00,1140
1047D1I,11:24:00,11:40:00,1920
1047D1I,11:40:00,11:56:00,960
1047D1I,11:56:00,22:25:00,971
1047D1V,7:00:00,7:47:00,2820
1047D1V,7:47:00,8:33:00,1380
1047D1V,8:33:00,11:24:00,1140
1047D1V,11:24:00,11:40:00,1920
1047D1V,11:40:00,11:56:00,960
1047D1V,11:56:00,22:25:00,971
1017D2I,7:11:00,8:06:00,3300
1017D2I,8:06:00,22:50:00,947
1017D2I,22:50:00,23:20:00,1800
1017D2I,23:20:00,24:25:00,3900
1017D2I,24:25:00,25:30:00,3900
1017D2V,6:45:00,7:40:00,3300
1017D2V,7:40:00,9:41:00,1037
1017D2V,9:41:00,9:54:00,1500
1017D2V,9:54:00,10:07:00,780
1017D2V,10:07:00,19:41:00,957
1017D2V,19:41:00,19:55:00,1680
1017D2V,19:55:00,20:09:00,840
1017D2V,20:09:00,22:50:00,990
1017D2V,22:50:00,23:55:00,3900
1017D2V,23:55:00,25:00:00,3900
1017D0I,6:18:00,6:50:00,1920
1017D0I,6:50:00,7:34:00,1320
1017D0I,7:34:00,21:45:00,608
1017D0I,21:45:00,22:45:00,1200
1017D0I,22:45:00,23:20:00,2100
