service_id,date,exception_type
20101L0113_201001,20250306,1
20101L0113_201001,20250307,1
20101L0113_201001,20250310,1
20101L0113_201001,20250311,1
20101L0113_201001,20250312,1
20102L0120_201002,20250306,1
20102L0120_201002,20250307,1
20102L0120_201002,20250310,1
20102L0120_201002,20250311,1
20102L0120_201002,20250312,1
20103L0113_201003,20250306,1
20103L0113_201003,20250307,1
20103L0113_201003,20250310,1
20103L0113_201003,20250311,1
20103L0113_201003,20250312,1
20104L0114_201004,20250306,1
20104L0114_201004,20250307,1
20104L0114_201004,20250310,1
20104L0114_201004,20250311,1
20104L0114_201004,20250312,1
20105L0114_201005,20250306,1
20105L0114_201005,20250307,1
20105L0114_201005,20250310,1
20105L0114_201005,20250311,1
20105L0114_201005,20250312,1
20201L0114_202001,20250306,1
20201L0114_202001,20250307,1
20201L0114_202001,20250310,1
20201L0114_202001,20250311,1
20201L0114_202001,20250312,1
20202L0110_202002,20250306,1
20202L0110_202002,20250307,1
20202L0110_202002,20250310,1
20202L0110_202002,20250311,1
20202L0110_202002,20250312,1
20203L0115_202003,20250306,1
20203L0115_202003,20250307,1
20203L0115_202003,20250310,1
20203L0115_202003,20250311,1
20203L0115_202003,20250312,1
20204L0115_202004,20250306,1
20204L0115_202004,20250307,1
20204L0115_202004,20250310,1
20204L0115_202004,20250311,1
20204L0115_202004,20250312,1
20205L0113_202005,20250306,1
20205L0113_202005,20250307,1
20205L0113_202005,20250310,1
20205L0113_202005,20250311,1
20205L0113_202005,20250312,1
A  01FP001_008001,20250309,1
A  01LP001_008001,20250306,1
A  01LP001_008001,20250307,1
A  01LP001_008001,20250310,1
A  01LP001_008001,20250311,1
A  01LP001_008001,20250312,1
A  01SP000_008001,20250308,1
A  02FP000_008002,20250309,1
A  02LP000_008002,20250306,1
A  02LP000_008002,20250307,1
A  02LP000_008002,20250310,1
A  02LP000_008002,20250311,1
A  02LP000_008002,20250312,1
A  02SP000_008002,20250308,1
A  03FP000_008003,20250309,1
A  03LP000_008003,20250306,1
A  03LP000_008003,20250307,1
A  03LP000_008003,20250310,1
A  03LP000_008003,20250311,1
A  03LP000_008003,20250312,1
A  03SP000_008003,20250308,1
A  04LP000_008004,20250306,1
A  04LP000_008004,20250307,1
A  04LP000_008004,20250310,1
A  04LP000_008004,20250311,1
A  04LP000_008004,20250312,1
A  04SP000_008004,20250308,1
C1 01FP100_001001,20250309,1
C1 01LP100_001001,20250306,1
C1 01LP100_001001,20250307,1
C1 01LP100_001001,20250310,1
C1 01LP100_001001,20250311,1
C1 01LP100_001001,20250312,1
C1 01SP100_001001,20250308,1
C1 02FP100_001002,20250309,1
C1 02LP100_001002,20250306,1
C1 02LP100_001002,20250307,1
C1 02LP100_001002,20250310,1
C1 02LP100_001002,20250311,1
C1 02LP100_001002,20250312,1
C1 02SP100_001002,20250308,1
C1 03LP200_001003,20250306,1
C1 03LP200_001003,20250307,1
C1 03LP200_001003,20250310,1
C1 03LP200_001003,20250311,1
C1 03LP200_001003,20250312,1
C1 04LP100_001004,20250306,1
C1 04LP100_001004,20250307,1
C1 04LP100_001004,20250310,1
C1 04LP100_001004,20250311,1
C1 04LP100_001004,20250312,1
C3 01FP102_003001,20250309,1
C3 01LP100_003001,20250306,1
C3 01LP100_003001,20250307,1
C3 01LP100_003001,20250310,1
C3 01LP100_003001,20250311,1
C3 01LP100_003001,20250312,1
C3 01SP102_003001,20250308,1
C3 02FP101_003002,20250309,1
C3 02LP100_003002,20250306,1
C3 02LP100_003002,20250307,1
C3 02LP100_003002,20250310,1
C3 02LP100_003002,20250311,1
C3 02LP100_003002,20250312,1
C3 02SP102_003002,20250308,1
C3 03FP101_003003,20250309,1
C3 03LP100_003003,20250306,1
C3 03LP100_003003,20250307,1
C3 03LP100_003003,20250310,1
C3 03LP100_003003,20250311,1
C3 03LP100_003003,20250312,1
C3 03SP101_003003,20250308,1
C3 04LP101_003004,20250306,1
C3 04LP101_003004,20250307,1
C3 04LP101_003004,20250310,1
C3 04LP101_003004,20250311,1
C3 04LP101_003004,20250312,1
C3 05LP100_003005,20250306,1
C3 05LP100_003005,20250307,1
C3 05LP100_003005,20250310,1
C3 05LP100_003005,20250311,1
C3 05LP100_003005,20250312,1
C3 06LP100_003006,20250306,1
C3 06LP100_003006,20250307,1
C3 06LP100_003006,20250310,1
C3 06LP100_003006,20250311,1
C3 06LP100_003006,20250312,1
C3 07FP101_003007,20250309,1
C3 07LP101_003007,20250306,1
C3 07LP101_003007,20250307,1
C3 07LP101_003007,20250310,1
C3 07LP101_003007,20250311,1
C3 07LP101_003007,20250312,1
C3 07SP101_003007,20250308,1
C3 08FP101_003008,20250309,1
C3 08LP101_003008,20250306,1
C3 08LP101_003008,20250307,1
C3 08LP101_003008,20250310,1
C3 08LP101_003008,20250311,1
C3 08LP101_003008,20250312,1
C3 08SP101_003008,20250308,1
C3 09FP102_003009,20250309,1
C3 09LP100_003009,20250306,1
C3 09LP100_003009,20250307,1
C3 09LP100_003009,20250310,1
C3 09LP100_003009,20250311,1
C3 09LP100_003009,20250312,1
C3 09SP103_003009,20250308,1
C3 10LP100_003010,20250306,1
C3 10LP100_003010,20250307,1
C3 10LP100_003010,20250310,1
C3 10LP100_003010,20250311,1
C3 10LP100_003010,20250312,1
C3 10SP101_003010,20250308,1
C3 11LP101_003011,20250306,1
C3 11LP101_003011,20250307,1
C3 11LP101_003011,20250310,1
C3 11LP101_003011,20250311,1
C3 11LP101_003011,20250312,1
C3 12LP100_003012,20250306,1
C3 12LP100_003012,20250307,1
C3 12LP100_003012,20250310,1
C3 12LP100_003012,20250311,1
C3 12LP100_003012,20250312,1
CKD01S0800_750001,20250308,1
CKD02F0100_750002,20250309,1
CKD02S0201_750002,20250308,1
COM01FP102_018001,20250309,1
COM02SP102_029001,20250308,1
COM03FP104_010001,20250309,1
COM04FP100_003010,20250309,1
COM05FP101_005100,20250309,1
COM05SC101_005100,20250308,1
H  01FP102_101001,20250309,1
H  01LP200_101001,20250306,1
