route_id,service_id,trip_id,trip_headsign,shape_id
V10-190-197,2502,4118993,Natzaret,74
V10-197-190,2502,4119082,Alacant,73
V10-190-197,2502,4118994,Natzaret,74
V10-197-190,2502,4119083,Alacant,73
V10-190-197,2502,4118995,Natzaret,74
V10-197-190,2502,4119084,Alacant,73
V10-190-197,2502,4118996,Natzaret,74
V10-197-190,2502,4119085,Alacant,73
V10-190-197,2502,4118997,Natzaret,74
V10-197-190,2502,4119086,Alacant,73
V10-190-197,2502,4118998,Natzaret,74
V10-197-190,2502,4119087,Alacant,73
V10-190-197,2502,4118999,Natzaret,74
V10-197-190,2502,4119088,Alacant,73
V10-190-194,2502,4119000,Ciutat Arts i Ciències - Justícia,74
V10-194-190,2502,4119089,Alacant,73
V10-190-197,2502,4119001,Natzaret,74
V10-197-190,2502,4119090,Alacant,73
V10-190-194,2502,4119002,Ciutat Arts i Ciències - Justícia,74
V10-194-190,2502,4119091,Alacant,73
V10-190-197,2502,4119003,Natzaret,74
V10-197-190,2502,4119092,Alacant,73
V10-190-194,2502,4119004,Ciutat Arts i Ciències - Justícia,74
V10-194-190,2502,4119093,Alacant,73
V10-190-197,2502,4119005,Natzaret,74
V10-197-190,2502,4119094,Alacant,73
V10-190-194,2502,4119006,Ciutat Arts i Ciències - Justícia,74
V10-194-190,2502,4119095,Alacant,73
V10-190-197,2502,4119007,Natzaret,74
V10-197-190,2502,4119096,Alacant,73
V10-190-194,2502,4119008,Ciutat Arts i Ciències - Justícia,74
V10-194-190,2502,4119097,Alacant,73
V10-190-197,2502,4119009,Natzaret,74
V10-197-190,2502,4119098,Alacant,73
V10-190-194,2502,4119010,Ciutat Arts i Ciències - Justícia,74
V10-194-190,2502,4119099,Alacant,73
V10-190-197,2502,4119011,Natzaret,74
V10-197-190,2502,4119100,Alacant,73
V10-190-194,2502,4119012,Ciutat Arts i Ciències - Justícia,74
V1-20-1,2502,4118017,Castelló,2
V10-194-190,2502,4119101,Alacant,73
V10-190-197,2502,4119013,Natzaret,74
V10-197-190,2502,4119102,Alacant,73
V10-190-194,2502,4119014,Ciutat Arts i Ciències - Justícia,74
V10-194-190,2502,4119103,Alacant,73
V10-190-197,2502,4119015,Natzaret,74
V10-197-190,2502,4119104,Alacant,73
V10-190-194,2502,4119016,Ciutat Arts i Ciències - Justícia,74
V10-194-190,2502,4119105,Alacant,73
V10-190-197,2502,4119017,Natzaret,74
V10-197-190,2502,4119106,Alacant,73
V10-190-194,2502,4119018,Ciutat Arts i Ciències - Justícia,74
V10-194-190,2502,4119107,Alacant,73
V10-190-197,2502,4119019,Natzaret,74
V10-197-190,2502,4119108,Alacant,73
V10-190-194,2502,4119020,Ciutat Arts i Ciències - Justícia,74
V10-194-190,2502,4119109,Alacant,73
V10-190-197,2502,4119021,Natzaret,74
V10-197-190,2502,4119110,Alacant,73
V10-190-194,2502,4119022,Ciutat Arts i Ciències - Justícia,74
V10-194-190,2502,4119111,Alacant,73
V10-190-197,2502,4119023,Natzaret,74
V10-197-190,2502,4119112,Alacant,73
V10-190-194,2502,4119024,Ciutat Arts i Ciències - Justícia,74
V10-194-190,2502,4119113,Alacant,73
V10-190-197,2502,4119025,Natzaret,74
V10-197-190,2502,4119114,Alacant,73
V10-190-194,2502,4119026,Ciutat Arts i Ciències - Justícia,74
V10-194-190,2502,4119115,Alacant,73
V10-190-197,2502,4119027,Natzaret,74
V1-20-29,2502,4118299,Empalme,48
V10-197-190,2502,4119116,Alacant,73
V10-190-194,2502,4119028,Ciutat Arts i Ciències - Justícia,74
V10-194-190,2502,4119117,Alacant,73
V10-190-197,2502,4119029,Natzaret,74
V10-197-190,2502,4119118,Alacant,73
V10-190-194,2502,4119030,Ciutat Arts i Ciències - Justícia,74
V10-194-190,2502,4119119,Alacant,73
V10-190-197,2502,4119031,Natzaret,74
V10-197-190,2502,4119120,Alacant,73
V10-190-194,2502,4119032,Ciutat Arts i Ciències - Justícia,74
V10-194-190,2502,4119121,Alacant,73
V10-190-197,2502,4119033,Natzaret,74
V10-197-190,2502,4119122,Alacant,73
V10-190-194,2502,4119034,Ciutat Arts i Ciències - Justícia,74
V10-194-190,2502,4119123,Alacant,73
V10-190-197,2502,4119035,Natzaret,74
V10-197-190,2502,4119124,Alacant,73
V10-190-194,2502,4119036,Ciutat Arts i Ciències - Justícia,74
V10-194-190,2502,4119125,Alacant,73
V10-190-197,2502,4119037,Natzaret,74
V1-20-39,2502,4118300,Bétera,48
V10-197-190,2502,4119126,Alacant,73
V10-190-194,2502,4119038,Ciutat Arts i Ciències - Justícia,74
V10-194-190,2502,4119127,Alacant,73
V10-190-197,2502,4119039,Natzaret,74
V10-197-190,2502,4119128,Alacant,73
V10-190-194,2502,4119040,Ciutat Arts i Ciències - Justícia,74
V10-194-190,2502,4119129,Alacant,73
V10-190-197,2502,4119041,Natzaret,74
V10-197-190,2502,4119130,Alacant,73
V10-190-194,2502,4119042,Ciutat Arts i Ciències - Justícia,74
V1-29-1,2502,4118018,Castelló,2
V10-194-190,2502,4119131,Alacant,73
V10-190-197,2502,4119043,Natzaret,74
V10-197-190,2502,4119132,Alacant,73
V10-190-194,2502,4119044,Ciutat Arts i Ciències - Justícia,74
V10-194-190,2502,4119133,Alacant,73
V10-190-197,2502,4119045,Natzaret,74
V10-197-190,2502,4119134,Alacant,73
V10-190-194,2502,4119046,Ciutat Arts i Ciències - Justícia,74
V10-194-190,2502,4119135,Alacant,73
V10-190-197,2502,4119047,Natzaret,74
V1-17-39,2502,4118301,Bétera,48
V10-197-190,2502,4119136,Alacant,73
V10-190-194,2502,4119048,Ciutat Arts i Ciències - Justícia,74
V10-194-190,2502,4119137,Alacant,73
V10-190-197,2502,4119049,Natzaret,74
V10-197-190,2502,4119138,Alacant,73
V10-190-194,2502,4119050,Ciutat Arts i Ciències - Justícia,74
V10-194-190,2502,4119139,Alacant,73
V10-190-197,2502,4119051,Natzaret,74
