trip_id,arrival_time,departure_time,stop_id,stop_sequence,timepoint
2567827,06:34:00,06:34:00,30,0,1
2567827,06:36:00,06:36:00,31,1,1
2567827,06:38:00,06:38:00,32,2,1
2567827,06:42:00,06:42:00,33,3,1
2567827,06:47:00,06:47:00,50,4,1
2567827,06:49:00,06:49:00,49,5,1
2567827,06:51:00,06:51:00,48,6,1
2567827,06:55:00,06:55:00,47,7,1
2567827,06:57:00,06:57:00,46,8,1
2567827,07:00:00,07:00:00,45,9,1
2567827,07:05:00,07:05:00,44,10,1
2567827,07:09:00,07:09:00,43,11,1
2567827,07:12:00,07:12:00,42,12,1
2567827,07:17:00,07:17:00,41,13,1
2567827,07:20:00,07:20:00,40,14,1
2567827,07:24:00,07:24:00,39,15,1
2567827,07:27:00,07:27:00,38,16,1
2567827,07:30:00,07:30:00,37,17,1
2567827,07:33:00,07:33:00,36,18,1
2567827,07:38:00,07:38:00,35,19,1
2567828,06:57:00,06:57:00,55,0,1
2567828,06:59:00,06:59:00,54,1,1
2567828,07:00:00,07:00:00,53,2,1
2567828,07:02:00,07:02:00,52,3,1
2567828,07:04:00,07:04:00,17,4,1
2567828,07:05:00,07:05:00,51,5,1
2567828,07:07:00,07:07:00,25,6,1
2567828,07:09:00,07:09:00,26,7,1
2567828,07:11:00,07:11:00,27,8,1
2567828,07:12:00,07:12:00,28,9,1
2567828,07:14:00,07:14:00,30,10,1
2567828,07:16:00,07:16:00,31,11,1
2567828,07:18:00,07:18:00,32,12,1
2567828,07:24:00,07:24:00,33,13,1
2567828,07:27:00,07:27:00,50,14,1
2567828,07:29:00,07:29:00,49,15,1
2567828,07:31:00,07:31:00,48,16,1
2567828,07:35:00,07:35:00,47,17,1
2567828,07:37:00,07:37:00,46,18,1
2567828,07:40:00,07:40:00,45,19,1
2567828,07:45:00,07:45:00,44,20,1
2567828,07:49:00,07:49:00,43,21,1
2567828,07:52:00,07:52:00,42,22,1
2567828,07:57:00,07:57:00,41,23,1
2567828,08:00:00,08:00:00,40,24,1
2567828,08:04:00,08:04:00,39,25,1
2567828,08:07:00,08:07:00,38,26,1
2567828,08:10:00,08:10:00,37,27,1
2567828,08:13:00,08:13:00,36,28,1
2567828,08:18:00,08:18:00,35,29,1
2567829,07:54:00,07:54:00,30,0,1
2567829,07:56:00,07:56:00,31,1,1
2567829,07:58:00,07:58:00,32,2,1
2567829,08:02:00,08:02:00,33,3,1
2567830,07:36:00,07:36:00,107,0,1
2567830,07:38:00,07:38:00,80,1,1
2567830,07:42:00,07:42:00,79,2,1
2567830,07:45:00,07:45:00,78,3,1
2567830,07:46:00,07:46:00,77,4,1
2567830,07:48:00,07:48:00,76,5,1
2567830,07:50:00,07:50:00,75,6,1
2567830,07:52:00,07:52:00,74,7,1
2567830,07:54:00,07:54:00,73,8,1
2567830,07:55:00,07:55:00,72,9,1
2567830,07:57:00,07:57:00,55,10,1
2567830,07:59:00,07:59:00,54,11,1
2567830,08:00:00,08:00:00,53,12,1
2567830,08:02:00,08:02:00,52,13,1
2567830,08:04:00,08:04:00,17,14,1
2567830,08:05:00,08:05:00,51,15,1
2567830,08:07:00,08:07:00,25,16,1
2567830,08:09:00,08:09:00,26,17,1
2567830,08:11:00,08:11:00,27,18,1
2567830,08:12:00,08:12:00,28,19,1
2567830,08:14:00,08:14:00,30,20,1
2567830,08:16:00,08:16:00,31,21,1
2567830,08:18:00,08:18:00,32,22,1
2567830,08:24:00,08:24:00,33,23,1
2567830,08:27:00,08:27:00,50,24,1
2567830,08:29:00,08:29:00,49,25,1
2567830,08:31:00,08:31:00,48,26,1
2567830,08:35:00,08:35:00,47,27,1
2567830,08:37:00,08:37:00,46,28,1
2567830,08:40:00,08:40:00,45,29,1
2567830,08:45:00,08:45:00,44,30,1
2567830,08:49:00,08:49:00,43,31,1
2567830,08:52:00,08:52:00,42,32,1
2567830,08:57:00,08:57:00,41,33,1
2567830,09:00:00,09:00:00,40,34,1
2567830,09:04:00,09:04:00,39,35,1
2567830,09:07:00,09:07:00,38,36,1
2567830,09:10:00,09:10:00,37,37,1
2567830,09:13:00,09:13:00,36,38,1
2567830,09:18:00,09:18:00,35,39,1
2567831,08:16:00,08:16:00,107,0,1
2567831,08:18:00,08:18:00,80,1,1
2567831,08:22:00,08:22:00,79,2,1
2567831,08:25:00,08:25:00,78,3,1
2567831,08:26:00,08:26:00,77,4,1
2567831,08:28:00,08:28:00,76,5,1
2567831,08:30:00,08:30:00,75,6,1
2567831,08:32:00,08:32:00,74,7,1
2567831,08:34:00,08:34:00,73,8,1
2567831,08:35:00,08:35:00,72,9,1
2567831,08:37:00,08:37:00,55,10,1
2567831,08:39:00,08:39:00,54,11,1
2567831,08:40:00,08:40:00,53,12,1
2567831,08:42:00,08:42:00,52,13,1
2567831,08:44:00,08:44:00,17,14,1
2567831,08:45:00,08:45:00,51,15,1
2567831,08:47:00,08:47:00,25,16,1
2567831,08:49:00,08:49:00,26,17,1
2567831,08:51:00,08:51:00,27,18,1
2567831,08:52:00,08:52:00,28,19,1
2567831,08:54:00,08:54:00,30,20,1
